URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Client Port,Remote Address,Remote Port,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Handshake Size (bytes),Request Header Size (bytes),Request Body Size (bytes),Response Handshake Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://googleads.g.doubleclick.net/getconfig/pubsetting?app_name=in.mohalla.sharechat&vnm=230411&eid=318496669%2C318496669%2C318500618%2C318486317%2C318491267%2C318483611%2C318484497%2C318508155%2C318508018%2C318502753%2C318484909&client=ca-app-pub-9738289674741718&admob_appcc=5300485228,COMPLETE,200,https,GET,application/json; charset=UTF-8,/192.168.29.247,46358,googleads.g.doubleclick.net/142.250.193.34,443,,26/03/23 23:43,26/03/23 23:43,26/03/23 23:43,26/03/23 23:43,196.0,25.0,5.0,27.0,1.0,2.0,136.0,19.391602,1458.9844,1170.8984,957.0,537,,372.0,392.0,1634.0,,91.70%
https://play-fe.googleapis.com/fdfe/bulkDetails?dt=1&nocache_qos=lt,COMPLETE,200,https,POST,application/protobuf,/192.168.29.247,46359,play-fe.googleapis.com/142.250.192.174,443,,26/03/23 23:43,26/03/23 23:43,26/03/23 23:43,26/03/23 23:43,148.0,4.0,6.0,8.0,0.0,0.0,130.0,46.07617,0.0,0.0,942.0,2051,76.0,372.0,1079.0,2463.0,,43.80%
https://play-fe.googleapis.com/fdfe/delivery?doc=in.mohalla.sharechat&ot=1&vc=230411&bvc=230411&pf=1&pf=2&pf=3&pf=4&pf=5&pf=7&da=3&bda=3&bf=2&fdcf=1&fdcf=2&ch=Q5AXYL7IqvKRF4JPb0QzSslzico&mn=config.arm64_v8a&mn=video_editor&dsp=CjESLwotCitjRmZ3d2hIdjJ2clJ5ZDNQbEJVYzFMZGtVUmdESlVEQ1ROd3ZkclhVa25v&st=EJaQgqEGGf8FhwUiCNlB&ia=false&isid=oL0_TETaSi2lUhE4eqXFvQ&nocache_qos=lt,COMPLETE,200,https,GET,application/protobuf,/192.168.29.247,46359,play-fe.googleapis.com/142.250.192.174,443,,26/03/23 23:43,26/03/23 23:43,26/03/23 23:43,26/03/23 23:43,146.0,,,,0.0,2.0,144.0,49.964844,0.0,3501.9531,,298,,,120.0,7052.0,,35.80%
https://play.googleapis.com/download/by-token/download?token=AOTCm0TOqAo2WO1ffdxN4sa3HJV10WxAiREHflnHqaTnGsDHz_tBY1Zy1QADGEy38hujkyuA6_GZKpAPs3XZE9DHVyFD98-UYxTKsmYJhpRRex9fzHBtiGgZoUM5XRpj-B2SVmHDxdOeYXtTy5VWgl-HWC7mSnD3QWQT2f-UVwW-6Gvba1m5YitaKZeDzQfp_o2znekKvc_frB5JRV2e0Ad-ynflrzv0L9nEp39KivutgZj7rYOzyNjbvCWSzH0ZLhCYaYuKDN6hSTlO_oUXNZ-cSaJnIofoCCRKtbtaKAug0WmNhn9EXpbRn3epzgJjSzbTmnbCkNChYpjgcdG2bK_0D9wbk5CCPvDMgx0ES576jI5q6Y1jEa0RWERDsh18-wyPqTQ9x1ND6-m8wttQ1AATile8sODzy-K-YxDy8gJrCs7fYr7rbEqp5ZvhiYFOxsHUFELyBtCSD-5l&cpn=U7pvDag-hIteGT9K&isid=oL0_TETaSi2lUhE4eqXFvQ,COMPLETE,302,https,GET,application/binary,/192.168.29.247,46348,play.googleapis.com/142.250.194.10,443,,26/03/23 23:44,26/03/23 23:44,26/03/23 23:44,26/03/23 23:44,101.0,,,,0.0,1.0,100.0,10.819336,0.0,659.1797,,444,,,675.0,0.0,,
https://play.googleapis.com/download/by-token/download?token=AOTCm0RGd16GwYrP0wgcPwGZY_G4SB36037sTi8Nm4QJGagz4eks8Fkhm0HZK-wN3P9jQI6aGh7CKxK0liHaDoOuXZ6YoSfNLjDd2kKrzNLjKTjMz5K8qPOkWJF9T8VLUx1DiWTnXVXlOnuAhIMxtWAXbIQMFmc2938Fhyi4uuQmElUpSBZb7zP9Oj9EwG7SQWeZ_vUCgbI20Oz6Cg5pVG4x_IRyNzAs7S8JRWosm1ovrcuzE9I86TiCOVv_4YQD4UsQV1e_nhBRYHJm7qT0dbDjXslmQC6xZwy6YIuALRygZpkVZk6mSREzJkQ4Xg9f26skU0HNx1HqgyjD0bRZp1ttifisEzFUbeFRrP3LzWdW4mri1fwYWIX5XpocRlD47jNye25_60EJ_tzkmoj0mXI5Y5zuFQM6DX3rcx6YpCoyKAitQeZ30k2or5AimhQvWmnMUaYiuY6BDwsTLeBiH0cjakpZIZykKO0i5hN-YWWD&cpn=0Qko0IRLU39kK-XP&isid=oL0_TETaSi2lUhE4eqXFvQ,COMPLETE,302,https,GET,application/binary,/192.168.29.247,46348,play.googleapis.com/142.250.194.10,443,,26/03/23 23:44,26/03/23 23:44,26/03/23 23:44,26/03/23 23:44,81.0,,,,0.0,1.0,80.0,13.816406,0.0,661.1328,,469,,,677.0,0.0,,
https://tpc.googlesyndication.com,EXCEPTION,200,https,CONNECT,,/192.168.29.247,46370,tpc.googlesyndication.com/142.250.194.1,443,com.xk72.proxy.ProxyException: Client closed the connection before a request was made. Possibly the SSL certificate was rejected.,26/03/23 23:44,,,,,24.0,6.0,119.0,,,,,,,1346.0,0,,21440.0,0.0,,,
https://fonts.googleapis.com/css?family=Google%20Sans%3A400%2Cnormal,COMPLETE,200,https,GET,text/css; charset=utf-8,/192.168.29.247,46366,fonts.googleapis.com/142.250.193.202,443,,26/03/23 23:44,26/03/23 23:44,26/03/23 23:44,26/03/23 23:44,161.0,24.0,8.0,29.0,0.0,1.0,99.0,17.268555,0.0,1529.2969,936.0,345,,372.0,401.0,793.0,,82.80%
https://pagead2.googlesyndication.com/omsdk/releases/live/omsdk-v1.js,COMPLETE,200,https,GET,text/javascript,/192.168.29.247,46364,pagead2.googlesyndication.com/142.250.193.194,443,,26/03/23 23:44,26/03/23 23:44,26/03/23 23:44,26/03/23 23:44,236.0,22.0,8.0,128.0,0.0,1.0,77.0,160.3457,0.0,36185.547,1362.0,334,,22571.0,548.0,13935.0,,66.10%
https://tpc.googlesyndication.com/pagead/js/r20230322/r20110914/client/one_afma_ctd_fy2021.js,COMPLETE,200,https,GET,text/javascript; charset=UTF-8,/192.168.29.247,46367,tpc.googlesyndication.com/142.250.194.1,443,,26/03/23 23:44,26/03/23 23:44,26/03/23 23:44,26/03/23 23:44,200.0,24.0,8.0,112.0,0.0,6.0,50.0,203.17871,0.0,6496.419,1346.0,351,,21432.0,399.0,18083.0,,62.70%
https://tpc.googlesyndication.com/pagead/js/r20230322/r20110914/client/qs_click_protection_fy2021.js,COMPLETE,200,https,GET,text/javascript; charset=UTF-8,/192.168.29.247,46367,tpc.googlesyndication.com/142.250.194.1,443,,26/03/23 23:44,26/03/23 23:44,26/03/23 23:44,26/03/23 23:44,75.0,,,,0.0,20.0,55.0,117.64258,0.0,438.1836,,61,,,89.0,8885.0,,57.40%
